,temp,time,operation,L_before,a_before,b_before,L_after,a_after,b_after,delta_L,delta_a,delta_b,color_diff_E
0,225,10,mean,69.54729166666665,7.405208333333333,19.61625,66.14166666666667,7.825833333333333,20.432708333333334,-3.405624999999999,0.42062499999999997,0.8164583333333332,3.558085589126199
1,225,10,std,3.598717111595574,0.6131779429466719,0.5815446233404367,3.499958257096567,0.6385316711295228,0.5005007687342209,0.9443356468066783,0.17233572196103106,0.376164798557439,0.9070073633213368
2,225,20,mean,70.940625,7.496458333333334,20.884166666666665,63.34354166666666,8.148958333333335,20.93375,-7.597083333333335,0.6525,0.049583333333333014,7.639360252108314
3,225,20,std,1.864072875766989,0.2929053988833861,0.5330475741545557,2.0039253920618783,0.40261506658838736,0.6064252598174659,1.6470798897201577,0.3103429811634972,0.36452801505352833,1.6324329813219336
4,225,30,mean,71.96145833333334,7.258333333333333,20.042291666666667,63.07208333333333,7.6379166666666665,19.918958333333332,-8.889375,0.37958333333333344,-0.12333333333333323,8.935067351546897
5,225,30,std,2.2816800357326605,0.6765913733745227,1.094524553505745,2.3163158186290587,0.7136897184241883,0.8386063402882377,1.5641235820059851,0.38870739601442117,0.7190429020826649,1.547438261553835
6,225,40,mean,70.45875,7.350833333333334,20.549791666666668,59.38479166666667,7.524374999999999,19.564791666666668,-11.073958333333335,0.17354166666666668,-0.985,11.139177584431275
7,225,40,std,1.8722834221254965,0.6750219329244629,0.7478493692435755,2.96007402838951,0.8676451531024233,0.8791194569019306,3.179177425783269,0.491218587142842,0.44171329875596027,3.142536434554712
8,225,50,mean,70.03229166666667,7.0995833333333325,20.39770833333333,59.38291666666667,7.350416666666667,20.06833333333333,-10.649375000000001,0.2508333333333334,-0.32937500000000014,10.677929594095644
9,225,50,std,1.772620658298597,0.24140509199210428,0.3591374986099355,1.2924131450850591,0.4946864828475272,0.5879764553591729,2.2197904887240574,0.39487047880977505,0.4973264959933478,2.1867972204885455
10,250,10,mean,70.52234375,7.36953125,19.865781249999998,60.33140625,7.19921875,19.01140625,-10.1909375,-0.17031250000000003,-0.854375,10.278741548868425
11,250,10,std,3.184628129688734,0.5266679616846646,0.7194813049790005,3.6180924848829754,0.9326907731788795,1.343994126956532,3.50709879591176,0.6383708648670545,0.9968695047616863,3.5282534165739743
12,250,20,mean,71.01166666666667,7.305833333333333,20.32541666666667,55.95583333333334,7.123750000000001,18.919166666666666,-15.055833333333332,-0.18208333333333335,-1.40625,15.146545061253226
13,250,20,std,1.1665083985859823,0.5184298443821491,0.5723931037741692,3.7064939178583,0.5526324814688945,0.961748924048164,4.238952516803687,0.4726834140617566,0.6792474715886501,4.187588033792119
14,250,30,mean,71.16645833333332,7.630833333333334,20.458125,55.391875,7.488125,19.340208333333333,-15.774583333333334,-0.14270833333333324,-1.1179166666666664,15.883926844859582
15,250,30,std,2.1635200726154427,0.46445041112820973,0.9310772901390977,3.5105928797029824,0.5409945775871727,0.902039036715632,2.1717969404054824,0.2590304310006784,1.486738481393664,2.157991752490207
16,250,40,mean,70.093125,7.470416666666666,20.716458333333332,53.12770833333334,7.312083333333334,19.090208333333333,-16.965416666666666,-0.1583333333333334,-1.6262499999999995,17.074924132441954
17,250,40,std,2.764240618471647,0.4801460696777079,0.6906040821099672,3.4107927821083286,0.4208044895669677,0.6859734179557135,1.966334702719903,0.3299150976102876,1.0086701272130125,1.9572438201081228
18,250,50,mean,71.64874999999999,6.825625,19.26291666666667,48.636041666666664,6.647500000000001,17.232499999999998,-23.012708333333336,-0.178125,-2.030416666666667,23.18189582276335
19,250,50,std,2.68618659148156,0.7237076706469204,0.5656927905969225,4.957139162771004,0.7170729509758939,1.6806742567930315,2.710243562567711,0.8806420681114773,1.8877104880051978,2.7892199141003307
20,275,10,mean,71.8225,7.258593749999999,19.838437499999998,51.820781249999996,6.705625,17.945156249999997,-20.001718750000002,-0.55296875,-1.89328125,20.12189255786278
21,275,10,std,1.7367311019944691,0.7814412146948799,0.9596315740618936,2.608027476172031,0.6000367052264783,0.9294408494674258,3.6215740481604852,0.5026554239222061,0.8204993730833425,3.590370482600171
22,275,20,mean,69.55770833333334,7.2375,20.09875,43.166666666666664,6.201875,15.061458333333334,-26.391041666666666,-1.0356249999999998,-5.037291666666667,26.91767173472387
23,275,20,std,2.1284208906108417,0.7772387020729218,0.507587640477935,2.7782784607871402,0.379465784906747,1.1468068333946075,4.103981066473337,0.7685989083487522,1.2858654500661253,4.130625513363277
24,275,30,mean,67.90854166666666,7.518958333333334,20.666458333333335,40.691875,5.431875000000001,13.736041666666665,-27.21666666666667,-2.0870833333333336,-6.930416666666666,28.249334553884818
25,275,30,std,2.0630013145315407,0.57481630584126,0.7071413520958676,4.118765388374056,1.3988789679673066,2.682872975465344,3.396029805481147,1.228243787453631,2.805965497985769,3.9481574516081954
26,275,40,mean,70.45854166666668,7.058750000000001,20.029375,40.97833333333333,5.551041666666667,14.033749999999998,-29.480208333333337,-1.5077083333333334,-5.9956249999999995,30.187754378190828
27,275,40,std,3.216908116190792,0.920889082423969,0.742813530766209,2.5693672814431094,0.4598299388850573,1.486855349315203,3.154735373184683,1.1302687302063477,1.794710794280344,3.186324322060411
28,275,50,mean,72.0775,7.038333333333333,19.643333333333334,40.876666666666665,6.022708333333334,14.808958333333331,-31.200833333333332,-1.015625,-4.8343750000000005,31.613195230526696
29,275,50,std,1.5818875070959941,0.40348657776897157,0.7776432845554472,2.165203870636306,0.6231994987547944,1.3784808776845052,2.483357227739773,0.6093069179098214,1.2096489841659095,2.517028635104793
30,300,10,mean,70.98645833333333,7.488854166666667,20.128645833333334,44.32635416666667,5.9815625,15.399479166666666,-26.660104166666667,-1.5072916666666665,-4.729166666666667,27.147411741689524
31,300,10,std,2.652478078352459,0.6441458968304532,0.8098298973977797,5.0158538381692495,0.9322099697126067,2.0860682583532046,6.412107543306633,0.6693460739159278,1.8028297445181283,6.539317409753946
32,300,20,mean,67.645,7.973333333333333,20.28875,33.562083333333334,3.370833333333333,9.418333333333333,-34.08291666666667,-4.6025,-10.870416666666669,36.109162651391166
33,300,20,std,1.4537464439867966,0.36774952931588745,0.7695028099156523,1.699216287853845,1.0226370445190684,1.489045579419466,1.686778319546106,1.1425289232336886,1.666078282666103,1.9760202298333347
34,300,30,mean,70.09791666666666,7.613333333333333,21.278333333333332,32.37979166666667,2.1983333333333337,8.2425,-37.71812500000001,-5.415,-13.035833333333334,40.3165181687427
35,300,30,std,1.7016937223903412,0.45007958319132163,0.8828588314742379,1.7188077134088502,1.0365313131404026,1.4669051224594836,1.4996448604409007,0.9465075782816961,1.9382091244055886,1.802270049902002
36,300,40,mean,70.59604166666666,6.996875,19.669166666666666,33.083125,2.10125,8.458958333333333,-37.51291666666667,-4.895625,-11.210208333333332,39.58889549105967
37,300,40,std,4.60158979908879,0.49934491661043356,0.9586156537586927,1.9955057549616604,1.2603269163872572,1.774079611041189,3.1050603573352706,1.346813269923694,2.2039186469745817,2.355186573916274
38,300,50,mean,72.890625,7.542708333333333,20.22479166666667,31.594583333333333,0.9458333333333333,6.84375,-41.29604166666667,-6.596875,-13.381041666666667,43.92814165635832
39,300,50,std,1.3631009800872773,0.35028705300588275,0.8026392358387431,0.85600496701018,0.7957194879768242,1.0019844671153468,1.6887232235883198,0.9219524985455966,1.0863039807772417,1.7414355291686894
40,325,10,mean,73.63687499999999,7.982291666666666,18.958333333333332,38.114583333333336,4.377916666666667,12.34375,-35.52229166666667,-3.6043749999999997,-6.614583333333333,36.36090909782462
41,325,10,std,1.6738236977879712,1.0327411151846855,0.8053685117486977,2.869462814530209,0.7523663614516346,1.7204806663849075,3.40785965123012,1.2116823301298638,2.012938952613902,3.6384586360713
42,325,20,mean,71.96770833333333,7.505833333333334,20.012291666666666,33.15208333333334,1.764375,8.309375000000001,-38.815625000000004,-5.741458333333334,-11.702916666666667,40.98085557279449
43,325,20,std,2.996600371330984,0.6310944001050648,0.6044066532412342,1.1131591202296078,0.6414773714521085,0.8711044743996835,2.961790650330131,0.7715720056670524,0.9806596961822753,2.694225588505663
44,325,30,mean,73.53375,7.147708333333334,19.418541666666666,31.118125000000003,0.5456249999999999,6.634166666666668,-42.415625,-6.602083333333333,-12.784374999999999,44.80898222644123
45,325,30,std,1.169625553829179,0.373296069727179,0.6315701122896717,0.8571219934770825,1.0456778443934438,1.4252119414368463,1.7866275210396187,1.009056771136236,1.45917771401013,2.1155297202216183
46,325,40,mean,72.84916666666668,7.978541666666665,19.748958333333334,30.545625,0.07270833333333333,5.961874999999999,-42.30354166666667,-7.905833333333334,-13.787083333333333,45.210149675354224
47,325,40,std,1.4112885817553071,0.671438562273423,0.6213548668573992,0.6140514437178003,0.6644970569178484,0.8090621211980245,1.3677944501281678,0.8647440485505212,0.971011664441921,1.305825759970239
48,325,50,mean,70.70854166666668,8.204166666666667,20.33395833333333,30.012083333333333,-0.3272916666666667,5.393958333333334,-40.69645833333333,-8.531458333333333,-14.94,44.21176726339859
49,325,50,std,2.484772338202242,0.4396750895799797,0.6929116476279209,0.6394045046505196,0.8742820509480502,1.1656880710884943,2.203138466962512,0.8597797580017242,1.1137171801884032,2.049824695043393
